1,소설,2,3,4,5,6,url
9791197894978,소설,참지 않는 여자들 ,자일리 아마두 아말,10500,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230311_28/pocket_1678493051760h0II1_JPEG/kyobo368613630139294724l9791197894978.jpg?type=m260
9791197894978,소설,참지 않는 여자들 ,자일리 아마두 아말,10500,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230311_28/pocket_1678493051760h0II1_JPEG/kyobo368613630139294724l9791197894978.jpg?type=m260
9791197894978,소설,참지 않는 여자들 ,자일리 아마두 아말,10500,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230311_28/pocket_1678493051760h0II1_JPEG/kyobo368613630139294724l9791197894978.jpg?type=m260
9791197894978,소설,참지 않는 여자들 ,자일리 아마두 아말,10500,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230311_28/pocket_1678493051760h0II1_JPEG/kyobo368613630139294724l9791197894978.jpg?type=m260
9791190275811,소설,플로라 ,소피 캐머런,9800,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230311_132/pocket_16784931876797Am0L_JPEG/kyobo2355367443006653991l9791190275811.jpg?type=m260
9791190275811,소설,플로라 ,소피 캐머런,9800,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230311_132/pocket_16784931876797Am0L_JPEG/kyobo2355367443006653991l9791190275811.jpg?type=m260
9791190275811,소설,플로라 ,소피 캐머런,9800,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230311_132/pocket_16784931876797Am0L_JPEG/kyobo2355367443006653991l9791190275811.jpg?type=m260
9791190275811,소설,플로라 ,소피 캐머런,9800,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230311_132/pocket_16784931876797Am0L_JPEG/kyobo2355367443006653991l9791190275811.jpg?type=m260
9788954690973,소설,"월 (wall, 최정나 장편소설) ",최정나,10200,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_42/pocket_1678403082659gelBO_JPEG/kpc_etc29504843195305734609788954691963.jpg?type=m260
9788954690973,소설,"월 (wall, 최정나 장편소설) ",최정나,10200,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_42/pocket_1678403082659gelBO_JPEG/kpc_etc29504843195305734609788954691963.jpg?type=m260
9788954690973,소설,"월 (wall, 최정나 장편소설) ",최정나,10200,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_42/pocket_1678403082659gelBO_JPEG/kpc_etc29504843195305734609788954691963.jpg?type=m260
9788954690973,소설,"월 (wall, 최정나 장편소설) ",최정나,10200,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_42/pocket_1678403082659gelBO_JPEG/kpc_etc29504843195305734609788954691963.jpg?type=m260
9791159098413,소설,낭패 (제9회 교보문고 스토리공모전 우수상 수상작) ,미아우,10300,10.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_121/pocket_1678406415071Ck09g_JPEG/kyobo110233716619761010l9791159098413.jpg?type=m260
9791159098413,소설,낭패 (제9회 교보문고 스토리공모전 우수상 수상작) ,미아우,10300,10.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_121/pocket_1678406415071Ck09g_JPEG/kyobo110233716619761010l9791159098413.jpg?type=m260
9791159098413,소설,낭패 (제9회 교보문고 스토리공모전 우수상 수상작) ,미아우,10300,10.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_121/pocket_1678406415071Ck09g_JPEG/kyobo110233716619761010l9791159098413.jpg?type=m260
9791159098413,소설,낭패 (제9회 교보문고 스토리공모전 우수상 수상작) ,미아우,10300,10.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_121/pocket_1678406415071Ck09g_JPEG/kyobo110233716619761010l9791159098413.jpg?type=m260
9791186317686,소설,카르멘 (소설 카르멘에서 오페라 카르멘으로) ,프로스페르 메리메,12000,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_181/pocket_1678406448894C4vjS_JPEG/kyobo3514112781366694086l9791186317686.jpg?type=m260
9791186317686,소설,카르멘 (소설 카르멘에서 오페라 카르멘으로) ,프로스페르 메리메,12000,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_181/pocket_1678406448894C4vjS_JPEG/kyobo3514112781366694086l9791186317686.jpg?type=m260
9791186317686,소설,카르멘 (소설 카르멘에서 오페라 카르멘으로) ,프로스페르 메리메,12000,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_181/pocket_1678406448894C4vjS_JPEG/kyobo3514112781366694086l9791186317686.jpg?type=m260
9791186317686,소설,카르멘 (소설 카르멘에서 오페라 카르멘으로) ,프로스페르 메리메,12000,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_181/pocket_1678406448894C4vjS_JPEG/kyobo3514112781366694086l9791186317686.jpg?type=m260
9791164803040,소설,무자비한 여자들 (최고의 쌍년을 찾아라) ,멜라니 블레이크,25000,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_20/pocket_1678406523824nqL7R_JPEG/kyobo4750946142494084843l9791164803040.jpg?type=m260
9791164803040,소설,무자비한 여자들 (최고의 쌍년을 찾아라) ,멜라니 블레이크,25000,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_20/pocket_1678406523824nqL7R_JPEG/kyobo4750946142494084843l9791164803040.jpg?type=m260
9791164803040,소설,무자비한 여자들 (최고의 쌍년을 찾아라) ,멜라니 블레이크,25000,0.0,전체 이용가,https://comicthumb-phinf.pstatic.net/20230310_20/pocket_1678406523824nqL7R_JPEG/kyobo4750946142494084843l9791164803040.jpg?type=m260
